Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,
2016-01-13,22.0577335357666,24.34749984741211,25.297500610351562,24.325000762939453,25.079999923706055,249758400
2016-01-14,22.540151596069336,24.8799991607666,25.1200008392334,23.934999465942383,24.489999771118164,252680400
2016-01-15,21.998849868774414,24.282499313354492,24.427499771118164,23.84000015258789,24.049999237060547,319335600
2016-01-19,21.89240264892578,24.165000915527344,24.662500381469727,23.875,24.602500915527344,212350800
2016-01-20,21.921836853027344,24.197500228881836,24.547500610351562,23.354999542236328,23.774999618530273,289337600
2016-01-21,21.81085968017578,24.075000762939453,24.469999313354492,23.735000610351562,24.264999389648438,208646000
2016-01-22,22.970487594604492,25.354999542236328,25.364999771118164,24.592500686645508,24.657499313354492,263202000
2016-01-25,22.52202796936035,24.860000610351562,25.38249969482422,24.802499771118164,25.3799991607666,207178000
2016-01-26,22.6466007232666,24.997499465942383,25.219999313354492,24.517499923706055,24.982500076293945,300308000
2016-01-27,21.1585693359375,23.354999542236328,24.157499313354492,23.334999084472656,24.010000228881836,533478800
2016-01-28,21.310321807861328,23.522499084472656,23.6299991607666,23.09749984741211,23.447500228881836,222715200
2016-01-29,22.04640769958496,24.334999084472656,24.334999084472656,23.587499618530273,23.697500228881836,257666000
2016-02-01,21.84030532836914,24.107500076293945,24.177499771118164,23.850000381469727,24.11750030517578,163774000
2016-02-02,21.398656845092773,23.6200008392334,24.010000228881836,23.56999969482422,23.854999542236328,149428800
2016-02-03,21.822187423706055,24.087499618530273,24.209999084472656,23.520000457763672,23.75,183857200
2016-02-04,21.997528076171875,24.149999618530273,24.332500457763672,23.797500610351562,23.96500015258789,185886800
2016-02-05,21.410015106201172,23.5049991607666,24.229999542236328,23.422500610351562,24.1299991607666,185672400
2016-02-08,21.635459899902344,23.752500534057617,23.924999237060547,23.260000228881836,23.282499313354492,216085600
2016-02-09,21.630897521972656,23.747499465942383,23.985000610351562,23.482500076293945,23.572500228881836,177324800
2016-02-10,21.46695327758789,23.5674991607666,24.087499618530273,23.524999618530273,23.979999542236328,169374400
2016-02-11,21.337142944335938,23.424999237060547,23.68000030517578,23.147499084472656,23.447500228881836,200298800
2016-02-12,21.40318489074707,23.497499465942383,23.625,23.252500534057617,23.547500610351562,161405600
2016-02-16,22.00662612915039,24.15999984741211,24.212499618530273,23.65250015258789,23.7549991607666,196231600
2016-02-17,22.343656539916992,24.530000686645508,24.552499771118164,24.037500381469727,24.167499542236328,179452800
2016-02-18,21.920103073120117,24.065000534057617,24.72249984741211,24.022499084472656,24.709999084472656,156084000
2016-02-19,21.870004653930664,24.010000228881836,24.190000534057617,23.950000762939453,24.0,141496800
2016-02-22,22.061288833618164,24.219999313354492,24.225000381469727,23.979999542236328,24.077499389648438,137123200
2016-02-23,21.562583923339844,23.672500610351562,24.125,23.637500762939453,24.100000381469727,127770400
2016-02-24,21.8836669921875,24.024999618530273,24.094999313354492,23.329999923706055,23.4950008392334,145022800
2016-02-25,22.03396224975586,24.190000534057617,24.190000534057617,23.8125,24.012500762939453,110330800
2016-02-26,22.0681209564209,24.227500915527344,24.5049991607666,24.145000457763672,24.299999237060547,115964400
2016-02-29,22.01801872253418,24.172500610351562,24.5575008392334,24.162500381469727,24.21500015258789,140865200
2016-03-01,22.8924560546875,25.13249969482422,25.1924991607666,24.354999542236328,24.412500381469727,201628400
2016-03-02,22.942554473876953,25.1875,25.22249984741211,24.90999984741211,25.127500534057617,132678400
2016-03-03,23.11334228515625,25.375,25.427499771118164,25.112499237060547,25.145000457763672,147822800
2016-03-04,23.45719337463379,25.752500534057617,25.9375,25.342500686645508,25.592500686645508,184220400
2016-03-07,23.197589874267578,25.467500686645508,25.707500457763672,25.239999771118164,25.59749984741211,143315600
2016-03-08,23.006317138671875,25.25749969482422,25.440000534057617,25.100000381469727,25.19499969482422,126247600
2016-03-09,23.02680778503418,25.280000686645508,25.395000457763672,25.0674991607666,25.327499389648438,108806800
2016-03-10,23.03819465637207,25.292499542236328,25.559999465942383,25.037500381469727,25.352500915527344,134054400
2016-03-11,23.286405563354492,25.565000534057617,25.56999969482422,25.375,25.559999465942383,109632800
2016-03-14,23.345617294311523,25.6299991607666,25.727500915527344,25.44499969482422,25.477500915527344,100304400
2016-03-15,23.81471824645996,26.145000457763672,26.295000076293945,25.962499618530273,25.989999771118164,160270800
2016-03-16,24.131237030029297,26.49250030517578,26.577499389648438,26.147499084472656,26.15250015258789,153214000
2016-03-17,24.092527389526367,26.450000762939453,26.61750030517578,26.239999771118164,26.3799991607666,137682800
2016-03-18,24.119857788085938,26.479999542236328,26.625,26.297500610351562,26.584999084472656,176820800
2016-03-21,24.11757469177246,26.477500915527344,26.912500381469727,26.28499984741211,26.482500076293945,142010800
2016-03-22,24.302032470703125,26.68000030517578,26.822500228881836,26.302499771118164,26.3125,129777600
2016-03-23,24.16766929626465,26.532499313354492,26.767499923706055,26.475000381469727,26.6200008392334,102814000
2016-03-24,24.06292152404785,26.417499542236328,26.5625,26.22249984741211,26.36750030517578,104532000
2016-03-28,23.9536190032959,26.297500610351562,26.547500610351562,26.264999389648438,26.5,77645600
2016-03-29,24.520641326904297,26.920000076293945,26.947500228881836,26.219999313354492,26.22249984741211,124760400
2016-03-30,24.948747634887695,27.389999389648438,27.604999542236328,27.149999618530273,27.162500381469727,182404400
2016-03-31,24.818950653076172,27.247499465942383,27.475000381469727,27.219999313354492,27.43000030517578,103553600
2016-04-01,25.046663284301758,27.497499465942383,27.5,27.049999237060547,27.19499969482422,103496000
2016-04-04,25.303993225097656,27.780000686645508,28.047500610351562,27.5674991607666,27.604999542236328,149424800
2016-04-05,25.00567626953125,27.452499389648438,27.6825008392334,27.354999542236328,27.377500534057617,106314800
2016-04-06,25.267547607421875,27.739999771118164,27.7450008392334,27.299999237060547,27.5575008392334,105616400
2016-04-07,24.71647071838379,27.135000228881836,27.604999542236328,27.030000686645508,27.487499237060547,127207600
2016-04-08,24.743803024291992,27.165000915527344,27.4424991607666,27.042499542236328,27.227500915527344,94326800
2016-04-11,24.82577896118164,27.2549991607666,27.65250015258789,27.207500457763672,27.24250030517578,117630000
2016-04-12,25.149137496948242,27.610000610351562,27.625,27.165000915527344,27.334999084472656,108929200
2016-04-13,25.513486862182617,28.010000228881836,28.084999084472656,27.700000762939453,27.700000762939453,133029200
2016-04-14,25.527149200439453,28.024999618530273,28.09749984741211,27.832500457763672,27.905000686645508,101895600
2016-04-15,25.014787673950195,27.462499618530273,28.075000762939453,27.4325008392334,28.02750015258789,187756000
2016-04-18,24.475093841552734,26.8700008392334,27.237499237060547,26.735000610351562,27.22249984741211,243286000
2016-04-19,24.345294952392578,26.727500915527344,27.0,26.5575008392334,26.969999313354492,129539600
2016-04-20,24.395395278930664,26.782499313354492,27.022499084472656,26.514999389648438,26.65999984741211,122444000
2016-04-21,24.131237030029297,26.49250030517578,26.732500076293945,26.3799991607666,26.732500076293945,126210000
2016-04-22,24.06520652770996,26.420000076293945,26.6200008392334,26.155000686645508,26.252500534057617,134732400
2016-04-25,23.928571701049805,26.270000457763672,26.412500381469727,26.127500534057617,26.25,112126400
2016-04-26,23.762340545654297,26.087499618530273,26.325000762939453,25.977500915527344,25.977500915527344,224064800
2016-04-27,22.275339126586914,24.454999923706055,24.677499771118164,23.920000076293945,24.0,458408400
2016-04-28,21.594470977783203,23.707500457763672,24.469999313354492,23.5625,24.40250015258789,328970800
2016-04-29,21.34624671936035,23.434999465942383,23.68000030517578,23.127500534057617,23.497499465942383,274126000
2016-05-02,21.3234806060791,23.40999984741211,23.520000457763672,23.100000381469727,23.49250030517578,192640400
2016-05-03,21.674165725708008,23.795000076293945,23.934999465942383,23.420000076293945,23.549999237060547,227325200
2016-05-04,21.448728561401367,23.547500610351562,23.975000381469727,23.454999923706055,23.799999237060547,164102000
2016-05-05,21.361665725708008,23.309999465942383,23.517499923706055,23.170000076293945,23.5,143562000
2016-05-06,21.24253273010254,23.18000030517578,23.362499237060547,22.962499618530273,23.342500686645508,174799600
2016-05-09,21.258567810058594,23.197500228881836,23.4424991607666,23.147499084472656,23.25,131745600
2016-05-10,21.40290641784668,23.354999542236328,23.392499923706055,23.02750015258789,23.332500457763672,134747200
2016-05-11,21.194425582885742,23.127500534057617,23.392499923706055,23.114999771118164,23.3700008392334,114876400
2016-05-12,20.697267532348633,22.584999084472656,23.19499969482422,22.36750030517578,23.18000030517578,305258800
2016-05-13,20.73850440979004,22.6299991607666,22.917499542236328,22.5,22.5,177571200
2016-05-16,21.50830078125,23.469999313354492,23.59749984741211,22.912500381469727,23.09749984741211,245039200
2016-05-17,21.4189453125,23.372499465942383,23.674999237060547,23.252500534057617,23.637500762939453,187667600
2016-05-18,21.664087295532227,23.639999389648438,23.802499771118164,23.47249984741211,23.540000915527344,168249600
2016-05-19,21.58160400390625,23.549999237060547,23.65999984741211,23.392499923706055,23.65999984741211,121768400
2016-05-20,21.81529426574707,23.80500030517578,23.857500076293945,23.6299991607666,23.65999984741211,128104000
2016-05-23,22.092512130737305,24.107500076293945,24.297500610351562,23.917499542236328,23.967500686645508,152074400
2016-05-24,22.429292678833008,24.475000381469727,24.522499084472656,24.209999084472656,24.30500030517578,140560800
2016-05-25,22.823348999023438,24.905000686645508,24.934999465942383,24.52750015258789,24.667499542236328,152675200
2016-05-26,23.004343032836914,25.102500915527344,25.1825008392334,24.65999984741211,24.920000076293945,225324800
2016-05-27,22.9905948638916,25.087499618530273,25.11750030517578,24.8125,24.860000610351562,145364800
2016-05-31,22.87833595275879,24.96500015258789,25.100000381469727,24.704999923706055,24.899999618530273,169228800
2016-06-01,22.557592391967773,24.614999771118164,24.885000228881836,24.582500457763672,24.7549991607666,116693200
2016-06-02,22.388051986694336,24.43000030517578,24.459999084472656,24.157499313354492,24.399999618530273,160766400
2016-06-03,22.43387794494629,24.479999542236328,24.5674991607666,24.362499237060547,24.447500228881836,114019600
2016-06-06,22.596542358398438,24.657499313354492,25.47249984741211,24.387500762939453,24.497499465942383,93170000
2016-06-07,22.688175201416016,24.75749969482422,24.967500686645508,24.739999771118164,24.8125,89638000
2016-06-08,22.667560577392578,24.735000610351562,24.889999389648438,24.670000076293945,24.7549991607666,83392400
2016-06-09,22.830228805541992,24.912500381469727,24.997499465942383,24.614999771118164,24.625,106405600
2016-06-10,22.64236068725586,24.707500457763672,24.837499618530273,24.6200008392334,24.63249969482422,126851600
2016-06-13,22.300992965698242,24.334999084472656,24.780000686645508,24.274999618530273,24.672500610351562,152082000
2016-06-14,22.32848358154297,24.364999771118164,24.6200008392334,24.1875,24.329999923706055,127727600
2016-06-15,22.255172729492188,24.28499984741211,24.602500915527344,24.25749969482422,24.454999923706055,117780800
2016-06-16,22.349109649658203,24.387500762939453,24.4375,24.017499923706055,24.112499237060547,125307200
2016-06-17,21.840490341186523,23.832500457763672,24.162500381469727,23.825000762939453,24.155000686645508,244032800
2016-06-20,21.787799835205078,23.774999618530273,24.142499923706055,23.75749969482422,24.0,137647600
2016-06-21,21.973379135131836,23.977500915527344,24.087499618530273,23.670000076293945,23.735000610351562,142185600
2016-06-22,21.890893936157227,23.887500762939453,24.22249984741211,23.837499618530273,24.0625,116876400
2016-06-23,22.016902923583984,24.024999618530273,24.072500228881836,23.8125,23.985000610351562,128960800
2016-06-24,21.39832878112793,23.350000381469727,23.665000915527344,23.162500381469727,23.227500915527344,301245600
2016-06-27,21.086742401123047,23.010000228881836,23.262500762939453,22.875,23.25,181958400
2016-06-28,21.441848754882812,23.397499084472656,23.415000915527344,23.03499984741211,23.225000381469727,161779600
2016-06-29,21.62742805480957,23.600000381469727,23.637500762939453,23.407499313354492,23.49250030517578,146124000
2016-06-30,21.902359008789062,23.899999618530273,23.9424991607666,23.575000762939453,23.610000610351562,143345600
2016-07-01,21.96879005432129,23.97249984741211,24.11750030517578,23.832500457763672,23.872499465942383,104106000
2016-07-05,21.762605667114258,23.747499465942383,23.850000381469727,23.614999771118164,23.84749984741211,110820800
2016-07-06,21.886314392089844,23.88249969482422,23.915000915527344,23.592500686645508,23.649999618530273,123796400
2016-07-07,21.980249404907227,23.985000610351562,24.125,23.905000686645508,23.924999237060547,100558400
2016-07-08,22.149782180786133,24.170000076293945,24.22249984741211,24.012500762939453,24.122499465942383,115648400
2016-07-11,22.21851921081543,24.2450008392334,24.412500381469727,24.1825008392334,24.1875,95179600
2016-07-12,22.31932258605957,24.354999542236328,24.424999237060547,24.280000686645508,24.292499542236328,96670000
2016-07-13,22.19331932067871,24.217500686645508,24.417499542236328,24.209999084472656,24.352500915527344,103568800
2016-07-14,22.633195877075195,24.697500228881836,24.747499465942383,24.329999923706055,24.34749984741211,155676000
2016-07-15,22.630905151367188,24.69499969482422,24.825000762939453,24.625,24.729999542236328,120548000
